140,COMMAND_CLASS_GEOGRAPHIC_LOCATION,1
142,COMMAND_CLASS_MULTI_CHANNEL_ASSOCIATION,1
143,COMMAND_CLASS_MULTI_CMD,1
144,COMMAND_CLASS_ENERGY_PRODUCTION,1
145,COMMAND_CLASS_MANUFACTURER_PROPRIETARY,1
146,COMMAND_CLASS_SCREEN_MD,1
147,COMMAND_CLASS_SCREEN_ATTRIBUTES,1
148,COMMAND_CLASS_SIMPLE_AV_CONTROL,1
152,COMMAND_CLASS_SECURITY,1
154,COMMAND_CLASS_IP_CONFIGURATION,2
155,COMMAND_CLASS_ASSOCIATION_COMMAND_CONFIGURATION,1
156,COMMAND_CLASS_SENSOR_ALARM ,3
157,COMMAND_CLASS_SILENCE_ALARM,1
158,COMMAND_CLASS_SENSOR_CONFIGURATION,2
159,COMMAND_CLASS_SECURITY_2,1
160,COMMAND_CLASS_IR_REPEATER,1
161,COMMAND_CLASS_AUTHENTICATION,1
162,COMMAND_CLASS_AUTHENTICATION_MEDIA_WRITE,1
163,COMMAND_CLASS_GENERIC_SCHEDULE,1
239,COMMAND_CLASS_MARK,1
2000,COMMAND_CLASS_ALARM,3
61696,COMMAND_CLASS_SECURITY_SCHEME0_MARK ,1
